
pin_name,function
CRTR_X2_Y4,VDD_IO
CRTR_X1_Y4,VDD_D2D
CRTR_X0_Y4,VDD
CRTR_X5_Y3,VSS
CRTR_X5_Y2,VDD_IO
CRTR_X5_Y1,VDD_D2D
CRTR_X5_Y0,VDD
CRTR_X2_Y1,east_test_request_o_io
CRTR_X0_Y0,NC
CRTR_X1_Y0,NC
CRTR_X2_Y0,NC
M_X0_Y9,NC
M_X8_Y9,NC
M_X9_Y9,NC
M_X1_Y9,NC
M_X3_Y9,NC
M_X2_Y9,NC
M_X4_Y9,NC
M_X6_Y9,NC
M_X7_Y9,NC
M_X5_Y9,NC
M_X9_Y8,NC
M_X9_Y7,NC
M_X9_Y6,NC
M_X9_Y5,NC
M_X9_Y4,NC
M_X9_Y3,NC
M_X9_Y2,NC
M_X9_Y1,NC
M_X9_Y0,NC
M_X0_Y8,NC
M_X0_Y7,NC
M_X0_Y6,NC
M_X0_Y5,NC
M_X0_Y4,NC
M_X0_Y3,NC
M_X0_Y2,NC
M_X0_Y1,NC
M_X0_Y0,NC
M_X8_Y0,NC
M_X1_Y0,NC
M_X3_Y0,NC
M_X2_Y0,NC
M_X4_Y0,NC
M_X6_Y0,NC
M_X7_Y0,NC
M_X5_Y0,NC
D2DE_X5_Y6,VSS
D2DE_X5_Y7,VDD_D2D
D2DE_X5_Y8,D2DE_40
D2DE_X5_Y9,D2DE_41
D2DE_X5_Y10,VSS
D2DE_X5_Y1,D2DE_1
D2DE_X5_Y2,VSS
D2DE_X5_Y3,VDD_D2D
D2DE_X5_Y4,D2DE_20
D2DE_X5_Y5,D2DE_21
D2DE_X5_Y0,D2DE_0
D2DE_X4_Y8,D2DE_39
D2DE_X4_Y7,D2DE_38
D2DE_X4_Y6,D2DE_34
D2DE_X3_Y6,D2DE_35
D2DE_X2_Y6,D2DE_31
D2DE_X1_Y6,D2DE_27
D2DE_X0_Y6,D2DE_23
D2DE_X4_Y5,D2DE_30
D2DE_X3_Y5,D2DE_29
D2DE_X2_Y5,VDD_D2D
D2DE_X1_Y5,D2DE_26
D2DE_X4_Y4,D2DE_33
D2DE_X3_Y4,D2DE_32
D2DE_X2_Y4,D2DE_28
D2DE_X1_Y4,D2DE_25
D2DE_X4_Y3,D2DE_37
D2DE_X4_Y2,D2DE_36
D2DE_X4_Y1,D2DE_3
D2DE_X0_Y4,D2DE_24
D2DE_X0_Y5,D2DE_22
D2DE_X4_Y0,D2DE_2
D2DE_X0_Y0,D2DE_4
D2DE_X0_Y1,D2DE_5
D2DE_X0_Y2,D2DE_6
D2DE_X0_Y3,D2DE_7
D2DE_X1_Y0,D2DE_8
D2DE_X1_Y1,D2DE_9
D2DE_X1_Y2,D2DE_10
D2DE_X1_Y3,D2DE_11
D2DE_X2_Y0,D2DE_12
D2DE_X2_Y1,D2DE_13
D2DE_X2_Y2,D2DE_14
D2DE_X2_Y3,D2DE_15
D2DE_X3_Y0,D2DE_16
D2DE_X3_Y1,D2DE_17
D2DE_X3_Y2,D2DE_18
D2DE_X3_Y3,D2DE_19
D2DE_X0_Y7,D2DE_44
D2DE_X0_Y8,D2DE_45
D2DE_X0_Y9,D2DE_46
D2DE_X0_Y10,D2DE_47
D2DE_X1_Y7,D2DE_48
D2DE_X1_Y8,D2DE_49
D2DE_X1_Y9,D2DE_50
D2DE_X1_Y10,D2DE_51
D2DE_X2_Y7,D2DE_52
D2DE_X2_Y8,D2DE_53
D2DE_X2_Y9,D2DE_54
D2DE_X2_Y10,D2DE_55
D2DE_X3_Y7,D2DE_56
D2DE_X3_Y8,D2DE_57
D2DE_X3_Y9,D2DE_58
D2DE_X3_Y10,D2DE_59
D2DE_X4_Y10,D2DE_43
D2DE_X4_Y9,D2DE_42
D2DN_X0_Y5,VSS
D2DN_X1_Y5,D2DN_0
D2DN_X2_Y5,D2DN_1
D2DN_X0_Y0,D2DN_2
D2DN_X1_Y0,D2DN_3
D2DN_X7_Y1,D2DN_44
D2DN_X7_Y2,D2DN_45
D2DN_X7_Y3,D2DN_46
D2DN_X7_Y4,D2DN_47
D2DN_X8_Y1,D2DN_48
D2DN_X8_Y2,D2DN_49
D2DN_X8_Y3,D2DN_50
D2DN_X8_Y4,D2DN_51
D2DN_X9_Y1,D2DN_52
D2DN_X9_Y2,D2DN_53
D2DN_X9_Y3,D2DN_54
D2DN_X9_Y4,D2DN_55
D2DN_X10_Y1,D2DN_56
D2DN_X10_Y2,D2DN_57
D2DN_X10_Y3,D2DN_58
D2DN_X10_Y4,D2DN_59
D2DN_X0_Y1,D2DN_4
D2DN_X0_Y2,D2DN_5
D2DN_X0_Y3,D2DN_6
D2DN_X0_Y4,D2DN_7
D2DN_X1_Y1,D2DN_8
D2DN_X1_Y2,D2DN_9
D2DN_X1_Y3,D2DN_10
D2DN_X1_Y4,D2DN_11
D2DN_X2_Y1,D2DN_12
D2DN_X2_Y2,D2DN_13
D2DN_X2_Y3,D2DN_14
D2DN_X2_Y4,D2DN_15
D2DN_X3_Y1,D2DN_16
D2DN_X3_Y2,D2DN_17
D2DN_X3_Y3,D2DN_18
D2DN_X3_Y4,D2DN_19
D2DN_X9_Y5,D2DN_40
D2DN_X10_Y5,D2DN_41
D2DN_X9_Y0,D2DN_42
D2DN_X10_Y0,D2DN_43
D2DN_X2_Y0,D2DN_24
D2DN_X4_Y0,D2DN_25
D2DN_X4_Y1,D2DN_26
D2DN_X4_Y2,D2DN_27
D2DN_X3_Y0,D2DN_28
D2DN_X5_Y0,D2DN_29
D2DN_X5_Y3,D2DN_30
D2DN_X5_Y4,D2DN_31
D2DN_X7_Y0,D2DN_32
D2DN_X6_Y1,D2DN_33
D2DN_X5_Y1,D2DN_34
D2DN_X6_Y3,D2DN_35
D2DN_X8_Y0,D2DN_36
D2DN_X6_Y0,D2DN_37
D2DN_X6_Y2,D2DN_38
D2DN_X6_Y4,D2DN_39
D2DN_X5_Y5,D2DN_20
D2DN_X6_Y5,D2DN_21
D2DN_X4_Y3,D2DN_22
D2DN_X4_Y4,D2DN_23
D2DN_X8_Y5,VDD_D2D
D2DN_X7_Y5,VSS
D2DN_X4_Y5,VDD_D2D
D2DN_X3_Y5,VSS
D2DN_X5_Y2,VDD_D2D
D2DS_X0_Y0,D2DS_0
D2DS_X1_Y0,D2DS_1
D2DS_X8_Y0,D2DS_40
D2DS_X9_Y0,D2DS_41
D2DS_X4_Y0,D2DS_20
D2DS_X5_Y0,D2DS_21
D2DS_X7_Y0,VDD_D2D
D2DS_X6_Y0,VSS
D2DS_X3_Y0,VDD_D2D
D2DS_X2_Y0,VSS
D2DS_X10_Y0,VSS
D2DS_X0_Y1,D2DS_2
D2DS_X1_Y1,D2DS_3
D2DS_X7_Y2,D2DS_44
D2DS_X7_Y3,D2DS_45
D2DS_X7_Y4,D2DS_46
D2DS_X7_Y5,D2DS_47
D2DS_X8_Y2,D2DS_48
D2DS_X8_Y3,D2DS_49
D2DS_X8_Y4,D2DS_50
D2DS_X8_Y5,D2DS_51
D2DS_X9_Y2,D2DS_52
D2DS_X9_Y3,D2DS_53
D2DS_X9_Y4,D2DS_54
D2DS_X9_Y5,D2DS_55
D2DS_X10_Y2,D2DS_56
D2DS_X10_Y3,D2DS_57
D2DS_X10_Y4,D2DS_58
D2DS_X10_Y5,D2DS_59
D2DS_X0_Y2,D2DS_4
D2DS_X0_Y3,D2DS_5
D2DS_X0_Y4,D2DS_6
D2DS_X0_Y5,D2DS_7
D2DS_X1_Y2,D2DS_8
D2DS_X1_Y3,D2DS_9
D2DS_X1_Y4,D2DS_10
D2DS_X1_Y5,D2DS_11
D2DS_X2_Y2,D2DS_12
D2DS_X2_Y3,D2DS_13
D2DS_X2_Y4,D2DS_14
D2DS_X2_Y5,D2DS_15
D2DS_X3_Y2,D2DS_16
D2DS_X3_Y3,D2DS_17
D2DS_X3_Y4,D2DS_18
D2DS_X3_Y5,D2DS_19
D2DS_X9_Y1,D2DS_42
D2DS_X10_Y1,D2DS_43
D2DS_X2_Y1,D2DS_24
D2DS_X4_Y1,D2DS_25
D2DS_X4_Y2,D2DS_26
D2DS_X4_Y3,D2DS_27
D2DS_X3_Y1,D2DS_28
D2DS_X5_Y1,D2DS_29
D2DS_X5_Y4,D2DS_30
D2DS_X5_Y5,D2DS_31
D2DS_X7_Y1,D2DS_32
D2DS_X6_Y2,D2DS_33
D2DS_X5_Y2,D2DS_34
D2DS_X6_Y4,D2DS_35
D2DS_X8_Y1,D2DS_36
D2DS_X6_Y1,D2DS_37
D2DS_X6_Y3,D2DS_38
D2DS_X6_Y5,D2DS_39
D2DS_X4_Y4,D2DS_22
D2DS_X4_Y5,D2DS_23
D2DS_X5_Y3,VDD_D2D
D2DW_X0_Y10,D2DW_41
D2DW_X0_Y9,D2DW_40
D2DW_X0_Y8,VDD_D2D
D2DW_X0_Y7,VSS
D2DW_X0_Y6,D2DW_21
D2DW_X0_Y5,D2DW_20
D2DW_X0_Y4,VDD_D2D
D2DW_X0_Y3,VSS
D2DW_X0_Y2,D2DW_1
D2DW_X0_Y1,D2DW_0
D2DW_X0_Y0,VSS
D2DW_X5_Y8,D2DW_39
D2DW_X5_Y7,D2DW_38
D2DW_X5_Y6,D2DW_34
D2DW_X4_Y6,D2DW_35
D2DW_X3_Y6,D2DW_31
D2DW_X2_Y6,D2DW_27
D2DW_X1_Y6,D2DW_23
D2DW_X5_Y5,D2DW_30
D2DW_X4_Y5,D2DW_29
D2DW_X3_Y5,VDD_D2D
D2DW_X2_Y5,D2DW_26
D2DW_X5_Y4,D2DW_33
D2DW_X4_Y4,D2DW_32
D2DW_X3_Y4,D2DW_28
D2DW_X2_Y4,D2DW_25
D2DW_X5_Y3,D2DW_37
D2DW_X5_Y2,D2DW_36
D2DW_X5_Y1,D2DW_3
D2DW_X1_Y4,D2DW_24
D2DW_X1_Y5,D2DW_22
D2DW_X5_Y0,D2DW_2
D2DW_X1_Y0,D2DW_4
D2DW_X1_Y1,D2DW_5
D2DW_X1_Y2,D2DW_6
D2DW_X1_Y3,D2DW_7
D2DW_X2_Y0,D2DW_8
D2DW_X2_Y1,D2DW_9
D2DW_X2_Y2,D2DW_10
D2DW_X2_Y3,D2DW_11
D2DW_X3_Y0,D2DW_12
D2DW_X3_Y1,D2DW_13
D2DW_X3_Y2,D2DW_14
D2DW_X3_Y3,D2DW_15
D2DW_X4_Y0,D2DW_16
D2DW_X4_Y1,D2DW_17
D2DW_X4_Y2,D2DW_18
D2DW_X4_Y3,D2DW_19
D2DW_X1_Y7,D2DW_44
D2DW_X1_Y8,D2DW_45
D2DW_X1_Y9,D2DW_46
D2DW_X1_Y10,D2DW_47
D2DW_X2_Y7,D2DW_48
D2DW_X2_Y8,D2DW_49
D2DW_X2_Y9,D2DW_50
D2DW_X2_Y10,D2DW_51
D2DW_X3_Y7,D2DW_52
D2DW_X3_Y8,D2DW_53
D2DW_X3_Y9,D2DW_54
D2DW_X3_Y10,D2DW_55
D2DW_X4_Y7,D2DW_56
D2DW_X4_Y8,D2DW_57
D2DW_X4_Y9,D2DW_58
D2DW_X4_Y10,D2DW_59
D2DW_X5_Y10,D2DW_43
D2DW_X5_Y9,D2DW_42
